TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	607677.0	605391.9	609702.6
2000000.0	1069744.0	1065573.0	1073508.8
3000000.0	1490126.0	1484342.7	1495686.8
4000000.0	1886679.5	1879378.6	1893856.4
5000000.0	2266453.5	2257776.7	2275154.0
6000000.0	2633227.0	2623178.9	2643363.4
7000000.0	2989206.5	2977901.6	3000757.8
8000000.0	3336010.5	3323438.6	3348930.1
9000000.0	3674785.5	3660956.3	3688999.1
10000000.0	4006370.5	3991307.7	4021842.8
11000000.0	4331434.5	4315173.8	4348120.4
12000000.0	4650505.5	4633079.6	4668382.8
13000000.0	4964044.5	4945483.3	4983087.7
14000000.0	5272447.5	5252785.9	5292624.2
15000000.0	5576032.5	5555292.7	5597303.6
16000000.0	5875096.0	5853288.1	5897449.4
17000000.0	6169884.0	6147031.0	6193285.8
18000000.0	6460619.0	6436745.5	6485048.8
19000000.0	6747501.5	6722625.7	6772947.5
20000000.0	7030720.0	7004860.2	7057154.8
21000000.0	7310442.0	7283602.8	7337838.0
22000000.0	7586800.5	7559013.0	7615152.7
23000000.0	7859943.0	7831224.0	7889225.9
24000000.0	8130004.0	8100352.3	8160201.9
25000000.0	8397076.5	8366515.3	8428187.6
26000000.0	8661290.5	8629840.1	8693290.9
27000000.0	8922742.0	8890420.2	8955621.2
28000000.0	9181525.0	9148339.5	9215265.2
29000000.0	9437724.5	9403687.4	9472329.1
30000000.0	9691440.0	9656553.7	9726913.7
31000000.0	9942731.0	9907013.9	9979070.2
32000000.0	10191672.5	10155139.9	10228868.2
33000000.0	10438346.5	10401004.0	10476384.8
34000000.0	10682802.0	10644666.4	10721677.1
35000000.0	10925115.5	10886186.8	10964806.5
36000000.0	11165336.0	11125626.8	11205829.4
37000000.0	11403523.0	11363049.3	11444822.6
38000000.0	11639735.0	11598495.4	11681822.1
39000000.0	11874015.0	11832025.6	11916880.1
40000000.0	12106414.5	12063679.8	12150044.6
41000000.0	12336979.5	12293511.6	12381371.2
42000000.0	12565750.5	12521555.8	12610895.9
43000000.0	12792775.0	12747865.2	12838660.2
44000000.0	13018088.5	12972467.2	13064710.8
45000000.0	13241738.5	13195417.1	13289080.7
46000000.0	13463751.5	13416729.9	13511810.1
47000000.0	13684168.5	13636461.4	13732938.9
48000000.0	13903025.0	13854634.6	13952494.8
49000000.0	14120353.5	14071287.8	14170515.6
50000000.0	14336179.5	14286449.0	14387029.5
51000000.0	14550543.0	14500148.7	14602074.1
52000000.0	14763468.0	14712417.2	14815667.8
53000000.0	14974980.5	14923283.9	15027846.4
54000000.0	15185116.0	15132776.7	15238639.3
55000000.0	15393892.5	15340917.8	15448066.3
56000000.0	15601341.5	15547735.2	15656161.3
57000000.0	15807487.5	15753256.9	15862945.5
58000000.0	16012350.5	15957499.8	16068442.5
59000000.0	16215955.0	16160492.7	16272673.2
60000000.0	16418327.5	16362256.2	16475666.1
61000000.0	16619483.5	16562810.8	16677439.0
62000000.0	16819445.0	16762175.3	16878012.6
63000000.0	17018223.0	16960377.0	17077409.5
64000000.0	17215850.0	17157435.1	17275649.9
65000000.0	17412342.5	17353359.8	17472749.2
66000000.0	17607723.0	17548174.2	17668733.1
67000000.0	17802006.0	17741898.9	17863611.4
68000000.0	17995210.5	17934550.5	18057409.2
