TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	613072.5	611289.0	614579.9
2000000.0	1090298.5	1086895.2	1093305.2
3000000.0	1528955.5	1523886.1	1533251.4
4000000.0	1944372.0	1937834.7	1949992.9
5000000.0	2343064.0	2335090.2	2349909.5
6000000.0	2728382.0	2719081.3	2736430.7
7000000.0	3102587.5	3091921.4	3111702.6
8000000.0	3467085.5	3455110.2	3477185.9
9000000.0	3822916.0	3809718.5	3834022.8
10000000.0	4170997.0	4156584.7	4183048.1
11000000.0	4511989.0	4496394.4	4524951.8
12000000.0	4846441.0	4829691.9	4860278.2
13000000.0	5174830.0	5156953.2	5189520.2
14000000.0	5497543.0	5478562.8	5513067.2
15000000.0	5814942.0	5794894.3	5831276.1
16000000.0	6127331.0	6106234.4	6144457.5
17000000.0	6434981.0	6412862.2	6452882.5
18000000.0	6738141.5	6715019.6	6756798.0
19000000.0	7037021.5	7012927.0	7056424.4
20000000.0	7331838.5	7306775.6	7351961.9
21000000.0	7622762.5	7596758.0	7643596.7
22000000.0	7909965.0	7883031.7	7931502.3
23000000.0	8193598.0	8165756.3	8215815.4
24000000.0	8473809.0	8445069.2	8496691.1
25000000.0	8750729.0	8721101.5	8774255.3
26000000.0	9024474.5	8993972.6	9048642.1
27000000.0	9295166.0	9263799.8	9319955.5
28000000.0	9562897.0	9530689.5	9588306.8
29000000.0	9827780.5	9794734.8	9853793.7
30000000.0	10089895.0	10056035.9	10116513.0
31000000.0	10349322.0	10314674.8	10376553.0
32000000.0	10606156.5	10570737.3	10633994.6
33000000.0	10860485.0	10824302.1	10888914.4
34000000.0	11112378.5	11075442.3	11141396.9
35000000.0	11361906.5	11324231.1	11391500.6
36000000.0	11609135.5	11570727.2	11639301.7
37000000.0	11854131.5	11814997.4	11884861.2
38000000.0	12096954.5	12057106.7	12128238.8
39000000.0	12337656.0	12297105.2	12369491.4
40000000.0	12576299.5	12535049.4	12608674.6
41000000.0	12812930.5	12770993.1	12845839.9
42000000.0	13047604.0	13004981.8	13081041.5
43000000.0	13280361.0	13237070.6	13314322.4
44000000.0	13511255.0	13467296.7	13545732.1
45000000.0	13740326.5	13695706.4	13775309.3
46000000.0	13967614.5	13922345.6	14003098.6
47000000.0	14193163.5	14147252.8	14229145.5
48000000.0	14417010.5	14370458.5	14453483.4
49000000.0	14639194.5	14592010.2	14676149.2
50000000.0	14859747.0	14811939.4	14897183.0
51000000.0	15078704.0	15030279.1	15116616.9
52000000.0	15296103.0	15247064.9	15334481.8
53000000.0	15511969.0	15462325.0	15550842.7
54000000.0	15726340.5	15676094.3	15765701.6
55000000.0	15939242.0	15888400.5	15979089.9
