"Package","Version","LibPath","R_version"
"bedr","1.0.7","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"chameleon","0.2-2","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"clusterProfiler","4.4.4","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ComplexHeatmap","2.14.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"condiments","1.6.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"DGEvistools","0.1.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"dplyr","1.1.4","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"enrichplot","1.16.1","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"enrichR","3.1","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"GenomicRanges","1.50.2","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ggalluvial","0.12.5","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ggplot2","3.4.4","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ggplotify","0.1.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ggsignif","0.6.3","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ggtext","0.1.2","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"ggVennDiagram","1.2.2","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"glmGamPoi","1.11.3","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"GOSemSim","2.22.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"gprofiler2","0.2.2","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"IRanges","2.32.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"Matrix","1.5-3","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"msigdbr","7.5.1","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"muscat","1.12.1","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"Nebulosa","1.8.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"org.Dm.eg.db","3.16.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"patchwork","1.2.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"pbmcapply","1.5.1","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"PCAtools","2.8.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"phateR","1.0.7","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"rrvgo","1.10.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"scales","1.3.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"SCENT","1.0.3","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"SingleCellExperiment","1.20.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"slingshot","2.4.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"stringr","1.5.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"tidyr","1.3.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"tradeSeq","1.13.04","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"TxDb.Dmelanogaster.UCSC.dm6.ensGene","3.12.0","/g/huber/users/hirschmueller/R/4.2.0-foss-2021b","4.2.0"
"BiocParallel","1.30.0","/g/easybuild/x86_64/Rocky/8/haswell/software/R-bundle-Bioconductor/3.15-foss-2021b-R-4.2.0","4.2.0"
"biomaRt","2.52.0","/g/easybuild/x86_64/Rocky/8/haswell/software/R-bundle-Bioconductor/3.15-foss-2021b-R-4.2.0","4.2.0"
"DESeq2","1.36.0","/g/easybuild/x86_64/Rocky/8/haswell/software/R-bundle-Bioconductor/3.15-foss-2021b-R-4.2.0","4.2.0"
"DropletUtils","1.16.0","/g/easybuild/x86_64/Rocky/8/haswell/software/R-bundle-Bioconductor/3.15-foss-2021b-R-4.2.0","4.2.0"
"ggthemes","4.2.4","/g/easybuild/x86_64/Rocky/8/haswell/software/R-bundle-Bioconductor/3.15-foss-2021b-R-4.2.0","4.2.0"
"limma","3.52.0","/g/easybuild/x86_64/Rocky/8/haswell/software/R-bundle-Bioconductor/3.15-foss-2021b-R-4.2.0","4.2.0"
