"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr2L",12437,12971,535,"*","Exon (FBtr0078170/FBgn0002121, exon 6 of 9)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",4908
"2","chr2L",13309,14489,1181,"*","Exon (FBtr0078170/FBgn0002121, exon 4 of 9)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",4081
"3","chr2L",15085,15922,838,"*","Promoter (2-3kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",2648
"4","chr2L",18038,18544,507,"*","Promoter (<=1kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",26
"5","chr2L",20843,21349,507,"*","Promoter (<=1kb)",1,9839,21376,11538,2,"FBgn0002121","FBtr0078166",27
"6","chr2L",22106,22609,504,"*","Promoter (<=1kb)",1,21952,24237,2286,1,"FBgn0263584","FBtr0309810",154
"7","chr2L",28307,28964,658,"*","Exon (FBtr0078163/FBgn0051973, exon 9 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-3152
"8","chr2L",31086,31392,307,"*","Exon (FBtr0078164/FBgn0051973, exon 8 of 14)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-5931
"9","chr2L",33734,34014,281,"*","Exon (FBtr0078163/FBgn0051973, exon 7 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-8579
"10","chr2L",40309,40822,514,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-13995
"11","chr2L",47335,47872,538,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-6945
"12","chr2L",48251,48784,534,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-6033
"13","chr2L",49752,49999,248,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-4818
"14","chr2L",83102,83615,514,"*","3' UTR",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",3772
"15","chr2L",84611,84908,298,"*","Promoter (2-3kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",2479
"16","chr2L",92352,92599,248,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",-2140
"17","chr2L",95258,95529,272,"*","Promoter (<=1kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",519
"18","chr2L",97569,97899,331,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",2830
"19","chr2L",100585,100893,309,"*","Promoter (1-2kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-1487
"20","chr2L",102842,103089,248,"*","Promoter (<=1kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0330636",462
"21","chr2L",105807,106273,467,"*","Promoter (<=1kb)",1,103962,106732,2771,2,"FBgn0026787","FBtr0301452",459
"22","chr2L",110470,110787,318,"*","Promoter (<=1kb)",1,109594,114210,4617,1,"FBgn0005278","FBtr0089436",876
"23","chr2L",112873,113151,279,"*","Promoter (1-2kb)",1,114726,156030,41305,1,"FBgn0031228","FBtr0306542",-1575
"24","chr2L",114592,114840,249,"*","Promoter (<=1kb)",1,114726,156030,41305,1,"FBgn0031228","FBtr0306542",0
"25","chr2L",116176,116427,252,"*","Promoter (<=1kb)",1,115365,116182,818,2,"FBgn0031219","FBtr0336838",0
"26","chr2L",117494,118058,565,"*","Promoter (1-2kb)",1,115365,116488,1124,2,"FBgn0031219","FBtr0078160",-1006
"27","chr2L",120270,120922,653,"*","Promoter (<=1kb)",1,116970,120631,3662,2,"FBgn0031220","FBtr0100307",0
"28","chr2L",122275,122525,251,"*","Promoter (<=1kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",-312
"29","chr2L",123345,123633,289,"*","Promoter (<=1kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",508
"30","chr2L",124236,124761,526,"*","Promoter (1-2kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",1399
"31","chr2L",125447,125780,334,"*","Promoter (2-3kb)",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",2610
"32","chr2L",128179,128721,543,"*","Promoter (<=1kb)",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",524
"33","chr2L",129243,129490,248,"*","Promoter (<=1kb)",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",0
"34","chr2L",133762,134011,250,"*","Promoter (1-2kb)",1,135402,136128,727,1,"FBgn0265074","FBtr0336836",-1391
"35","chr2L",135821,136548,728,"*","Promoter (<=1kb)",1,136144,136701,558,1,"FBgn0265075","FBtr0336837",0
"36","chr2L",137107,137373,267,"*","Promoter (<=1kb)",1,136144,136701,558,1,"FBgn0265075","FBtr0336837",963
"37","chr2L",138883,139130,248,"*","Promoter (<=1kb)",1,138384,139588,1205,2,"FBgn0051976","FBtr0346127",458
"38","chr2L",140133,140380,248,"*","Promoter (<=1kb)",1,138384,139588,1205,2,"FBgn0051976","FBtr0346127",-545
"39","chr2L",141294,142756,1463,"*","Promoter (<=1kb)",1,141077,142572,1496,2,"FBgn0051974","FBtr0330644",0
"40","chr2L",143374,143928,555,"*","Promoter (<=1kb)",1,143323,144227,905,1,"FBgn0031224","FBtr0078116",51
"41","chr2L",144326,144620,295,"*","Promoter (1-2kb)",1,143323,144227,905,1,"FBgn0031224","FBtr0078116",1003
"42","chr2L",151792,152328,537,"*","Promoter (<=1kb)",1,144231,153300,9070,2,"FBgn0259818","FBtr0301929",972
"43","chr2L",156756,157084,329,"*","Promoter (<=1kb)",1,156149,157666,1518,1,"FBgn0031229","FBtr0078119",607
