"","seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr2L",68066,68066,1,"*","SRR21146075_vs_SRR21146078_peak_1",2.37616,"Promoter (1-2kb)",1,67043,71390,4348,1,"FBgn0067779","FBtr0306537",1023
"2","chr2L",73196,73196,1,"*","SRR21146075_vs_SRR21146078_peak_2",2.79608,"Promoter (<=1kb)",1,73485,76211,2727,1,"FBgn0031213","FBtr0302164",-289
"3","chr2L",84159,84159,1,"*","SRR21146075_vs_SRR21146078_peak_3",1.78058,"Exon (FBtr0290323/FBgn0002931, exon 2 of 2)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",3228
"4","chr2L",128729,128729,1,"*","SRR21146075_vs_SRR21146078_peak_4",2.37616,"Promoter (<=1kb)",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",516
"5","chr2L",133364,133364,1,"*","SRR21146075_vs_SRR21146078_peak_5",2.43966,"Promoter (1-2kb)",1,132077,134472,2396,1,"FBgn0001142","FBtr0078115",1287
"6","chr2L",139114,139114,1,"*","SRR21146075_vs_SRR21146078_peak_6",4.60049,"Promoter (<=1kb)",1,138384,139588,1205,2,"FBgn0051976","FBtr0346127",474
"7","chr2L",143426,143426,1,"*","SRR21146075_vs_SRR21146078_peak_7",1.72568,"Promoter (<=1kb)",1,143323,144227,905,1,"FBgn0031224","FBtr0078116",103
"8","chr2L",207280,207280,1,"*","SRR21146075_vs_SRR21146078_peak_8",1.47338,"Promoter (<=1kb)",1,204743,207297,2555,2,"FBgn0031232","FBtr0078146",17
"9","chr2L",207412,207412,1,"*","SRR21146075_vs_SRR21146078_peak_9",1.36796,"Promoter (<=1kb)",1,207406,210725,3320,1,"FBgn0031233","FBtr0332339",6
"10","chr2L",231012,231012,1,"*","SRR21146075_vs_SRR21146078_peak_10",3.76606,"Promoter (1-2kb)",1,232166,232253,88,2,"FBgn0263465","FBtr0309764",1241
"11","chr2L",245359,245359,1,"*","SRR21146075_vs_SRR21146078_peak_11",2.42851,"Promoter (2-3kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",-2218
"12","chr2L",245616,245616,1,"*","SRR21146075_vs_SRR21146078_peak_12",1.60316,"Promoter (2-3kb)",1,243035,243141,107,2,"FBgn0262252","FBtr0304343",-2475
"13","chr2L",298517,298517,1,"*","SRR21146075_vs_SRR21146078_peak_13",1.78058,"Promoter (<=1kb)",1,297880,305233,7354,1,"FBgn0020622","FBtr0331208",637
"14","chr2L",300298,300298,1,"*","SRR21146075_vs_SRR21146078_peak_14",6.34484,"Promoter (1-2kb)",1,301706,305233,3528,1,"FBgn0020622","FBtr0331206",-1408
"15","chr2L",307209,307209,1,"*","SRR21146075_vs_SRR21146078_peak_15",3.03554,"Promoter (1-2kb)",1,305935,355566,49632,1,"FBgn0004611","FBtr0078049",1274
"16","chr2L",307385,307385,1,"*","SRR21146075_vs_SRR21146078_peak_16",2.79608,"Promoter (1-2kb)",1,305935,355566,49632,1,"FBgn0004611","FBtr0078049",1450
"17","chr2L",319104,319104,1,"*","SRR21146075_vs_SRR21146078_peak_17",1.67605,"Promoter (<=1kb)",1,318362,319259,898,2,"FBgn0031248","FBtr0078099",155
"18","chr2L",319198,319198,1,"*","SRR21146075_vs_SRR21146078_peak_18",1.67605,"Promoter (<=1kb)",1,318362,319259,898,2,"FBgn0031248","FBtr0078099",61
"19","chr2L",426162,426162,1,"*","SRR21146075_vs_SRR21146078_peak_19",5.14688,"Distal Intergenic",1,422873,425321,2449,1,"FBgn0031255","FBtr0078058",3289
