gene_id	gene_short_name	Ctrl_1	Ctrl_2	Ctrl_3	ScOE_1	ScOE_2	ScOE_3	ScOE_4
FBgn0000003	7SLRNA:CR32864	0	0	0	0	0	0	0
FBgn0000008	a	4.39768	5.33455	5.24648	2.03461	2.04361	1.67298	2.08783
FBgn0000014	abd-A	0.0256053	0.0648135	0.240708	0.0589853	0.0523029	0.053916	0
FBgn0000015	Abd-B	0.0204868	0.144712	0.192216	0.131722	0.301895	0.294655	0.143229
FBgn0000017	Abl	3.23615	2.9288	2.67263	2.91693	3.34988	3.09972	2.17232
FBgn0000018	abo	8.75429	11.0287	7.71732	6.69239	4.54341	6.3163	7.13589
FBgn0000022	ac	0	0	0	0	0	0.0404767	0
FBgn0000024	Ace	0.036839	0.236542	1.04205	0.424309	0.841519	0.666006	1.7112
FBgn0000028	acj6	0.461595	0.423054	0.712957	0.782302	0.858008	0.879177	0.340137
FBgn0000032	Acph-1	20.0662	23.3136	20.8517	26.9743	26.7243	27.5764	33.0647
FBgn0000036	nAChRalpha1	0.0220534	0.0454772	0.0706468	0.0434138	0.0358686	0.00796044	0.00928605
FBgn0000037	mAChR-A	1.79E-08	0.0211702	0.0372349	0.0547516	0.255647	0.220259	0.0583799
FBgn0000038	nAChRbeta1	0.742749	0.740944	3.07936	1.03695	1.01318	1.41174	0.513318
FBgn0000039	nAChRalpha2	0	0.0258864	0.0303482	0.0148718	0.0262546	0.0135937	0.0158574
FBgn0000042	Act5C	4713.7	3911.48	3350.33	2359.9	2157.6	2154.77	1915.74
FBgn0000043	Act42A	1287.3	1095.47	782.798	930.836	740.037	896.625	602.39
FBgn0000044	Act57B	0.190793	0.108167	2.62075	0.0621422	0.0182814	38.3853	0.0441736
FBgn0000045	Act79B	0.285902	0.450367	0.383991	0.211693	0.705819	0.2365	0.0501571
FBgn0000046	Act87E	0.087014	0	0.141449	0.0572699	0.050544	2.03569	0.04071
FBgn0000047	Act88F	0.0343989	0	0	0.0679207	0.0199814	0.0413889	0.0241406
FBgn0000052	ade2	7.92893	9.80152	8.17093	8.97621	6.98622	7.17752	8.64468
FBgn0000053	ade3	31.767	31.9852	29.6576	49.9006	34.0707	49.6427	32.8287
FBgn0000054	Adf1	37.4949	45.7969	46.5402	66.1793	53.6785	68.9142	58.9911
FBgn0000055	Adh	0.0137407	0.27567	2.12621	0.761443	1.10173	3.48965	0.126651
FBgn0000056	Adhr	0.403282	0.154595	0.341575	0.132418	0.419258	0.706945	0.189402
FBgn0000057	adp	5.37458	5.51198	5.13809	7.52272	7.45723	7.08799	7.69184
FBgn0000061	al	0	0	0	0.0393026	0.0520304	0.0179624	0
FBgn0000063	ald	5.05599	3.70201	2.85107	8.02186	6.02111	7.75255	7.04482
FBgn0000064	Ald	305.047	351.969	352.112	189.987	205.147	171.57	206.007
FBgn0000071	Ama	6.29866	4.27149	3.64638	1.21507	0.820044	0.84919	1.27019
FBgn0000075	amd	0.185771	0.0354579	0.207907	0.019825	0.0359632	0.0745068	0
FBgn0000077	amx	11.9367	11.9337	11.3075	10.1431	9.86363	12.1038	10.6474
FBgn0000078	Amy-d	4.77796	86.212	250.363	0.381856	2.18066	2.91549	8.62225
FBgn0000079	Amy-p	15.49	226.689	669.604	0.950748	8.42822	26.5999	80.1765
FBgn0000083	AnxB9	830.907	635.49	635.11	287.461	241.525	236.781	177.057
FBgn0000084	AnxB10	60.5666	51.8986	40.7791	28.5551	23.9625	31.0257	28.653
FBgn0000092	CG2650	0.474084	0.0678906	0.477552	0.0780066	0.103268	0.0356512	0.124764
FBgn0000094	Anp	0	0	0	0	1.15017	0	0.463195
FBgn0000097	aop	11.4654	10.144	11.9128	6.53247	6.06884	5.72963	4.55882
FBgn0000099	ap	0.0970215	0.222302	0.208494	5.59376	6.34582	4.06237	8.98752
FBgn0000100	RpLP0	4212.41	3233.01	2765.79	2239.9	1723.9	2578.35	1105.06
FBgn0000108	Appl	0.616298	1.20661	1.92805	10.1988	14.326	16.1502	9.08017
FBgn0000109	Aprt	73.6944	49.4498	64.3699	42.3833	68.1776	58.5736	46.2774
FBgn0000114	aret	0.0930548	0.237699	1.06671	0.163076	0.323998	0.239702	0.154686
FBgn0000115	Arl1	86.5173	71.5845	82.5532	62.5509	54.6973	55.7731	56.6278
FBgn0000116	Argk	16.8192	32.0177	100.689	42.6557	112.666	106.252	144.933
FBgn0000117	arm	146.745	94.3754	84.2189	106.669	96.9243	121.545	72.1795
FBgn0000119	arr	1.95271	7.36921	5.47673	7.57084	7.09158	6.44633	11.51
FBgn0000120	Arr1	0	0	0	0	0.144838	0.0249981	0
FBgn0000121	Arr2	0	0	0	0	0	0	0
FBgn0000137	ase	0	0	0	8.3952	10.2407	8.62967	13.4575
FBgn0000139	ash2	307.043	379.44	324.948	197.598	143.479	168.635	149.065
FBgn0000140	asp	0.848499	1.02557	0.846866	5.66652	5.9506	5.36216	8.2163
FBgn0000146	aub	0.295452	0.355099	0.203586	0.317264	0.46905	0.375382	0.321981
FBgn0000147	aurA	1.12106	0.677114	1.32654	5.66137	4.89671	5.20435	7.12994
FBgn0000150	awd	3550.36	2112.92	2565.02	2806.85	2238.91	2741.71	2010.15
FBgn0000152	Axs	8.35699	5.13338	4.11809	3.12733	2.65328	2.66313	3.4163
FBgn0000153	b	0.767581	0.567332	0.498837	0.68446	0.51778	0.610739	0.799326
FBgn0000157	Dll	0.0661348	0.151532	0.133237	0.0160099	0.0384158	0.039787	0.0232064
FBgn0000158	bam	0	5.02E-07	0.0513375	0.417429	0.493139	0.386358	0.449786
FBgn0000163	baz	24.0702	18.0882	18.362	6.3951	6.30857	5.5914	5.08367
FBgn0000166	bcd	0	0.0430041	0	0	0	0	0
FBgn0000173	ben	124.005	108.31	124.217	122.944	134.067	132.822	132.051
FBgn0000179	bi	0.088285	0.156083	0.723306	0.284073	0.436657	0.217914	0.103241
FBgn0000180	bib	23.4227	20.3658	16.2307	22.6122	20.6252	17.4034	20.5962
FBgn0000181	bic	3144.59	2707.14	2318.61	1515.13	1163.12	1509.62	1051.98
FBgn0000182	BicC	0	0	0.125982	0.0447038	0.0415604	0	0.0476663
FBgn0000183	BicD	21.4449	25.614	21.1306	11.9972	13.9227	9.76849	9.54138
FBgn0000206	boss	0	0	0.0228473	0.470236	0.523705	0.327484	0.191009
FBgn0000210	br	2.99923	3.84056	3.54212	9.90452	10.6437	7.92029	6.2723
FBgn0000212	brm	16.1336	12.0035	11.5169	22.5267	22.3841	19.5916	17.5557
FBgn0000216	Brd	0	0	0	0.0968589	0.0854837	0.265604	0.516389
FBgn0000221	brn	7.9517	7.12934	5.88165	11.5037	10.0858	11.555	9.83979
FBgn0000227	Bsg25A	0	0.0477773	0	0	0	0	0
FBgn0000228	Bsg25D	5.92376	8.39502	7.42869	8.16131	7.02971	6.78963	10.0631
FBgn0000229	bsk	58.9821	56.4273	55.9439	68.5791	68.2784	65.865	63.1279
FBgn0000233	btd	0	0	0.0470187	0	0	0	0
FBgn0000239	bur	15.3895	14.0347	11.1513	12.7309	12.5329	11.3317	11.8478
FBgn0000241	bw	86.1823	45.0788	54.7432	30.1974	25.6312	27.4842	17.9497
FBgn0000244	by	32.5533	46.4014	50.0265	67.2537	59.017	59.6078	48.4445
FBgn0000246	c(3)G	1.30724	0.912489	0.95764	2.02061	2.00205	1.85887	2.99178
FBgn0000247	ca	3.3173	4.35915	3.79065	3.57669	3.17904	3.37059	4.31594
FBgn0000250	cact	102.707	70.0462	73.2908	84.3092	77.0218	81.8367	72.9175
FBgn0000251	cad	12.1009	18.5772	18.1049	16.6317	24.0711	22.1606	28.6455
FBgn0000253	Cam	428.129	322.48	284.924	527.206	519.578	499.537	316.894
FBgn0000256	capu	5.83155	6.64571	11.6264	2.14228	3.2947	4.87385	5.08444
FBgn0000257	car	13.7417	15.3266	15.8831	22.9913	24.2919	18.253	15.2421
FBgn0000259	CkIIbeta	285.449	215.197	187.906	258.813	203.552	205.232	179.731
FBgn0000261	Cat	19.6467	38.9829	37.0139	21.7272	27.7153	22.658	21.7414
FBgn0000273	Pka-C1	23.43	24.0967	23.4681	29.6044	32.8247	22.6649	24.2624
FBgn0000274	Pka-C2	0	0.0479663	0	0	0	0	0
FBgn0000276	CecA1	3.60259	0.825448	0	0	0.209264	0	0
FBgn0000277	CecA2	0.967723	0	0	0	0	0	0
FBgn0000278	CecB	0	0	0	0	0	0	0
FBgn0000279	CecC	8.29052	2.45107	1.79595	0	0.155346	0	0.187683
FBgn0000280	Cec-Psi1	0	0	0	0	0	0	0
FBgn0000281	Cec2	0	0	0	0	0	0	0
FBgn0000283	Cp190	24.3136	24.7579	19.8498	42.5734	36.3786	32.8378	43.9357
FBgn0000286	Cf2	6.51394	5.445	6.40199	3.8131	3.62924	3.74746	4.75226
FBgn0000287	salr	0.0574799	0.0548756	0.0162885	0.170241	0.194766	0.340037	0.383215
FBgn0000289	cg	49.4028	40.4816	33.1998	69.5702	66.5422	69.9133	50.6363
FBgn0000299	Cg25C	1.41705	0.964775	0.195761	1.07687	0.0705537	0.487439	0.613727
FBgn0000303	Cha	0.100383	0.0836607	0.0691401	0.346843	0.553913	0.551036	0.334607
FBgn0000307	chif	5.64382	4.9238	3.65865	7.88939	6.70173	5.73151	6.81913
FBgn0000308	chic	1473.8	1375.4	1656.99	874.699	963.264	915.95	832.017
FBgn0000316	cin	44.8528	38.1076	32.2022	30.6609	27.6914	23.5731	30.464
FBgn0000317	ck	0.889236	1.24437	1.70509	1.01433	0.926778	0.882177	1.87256
FBgn0000318	cl	388.184	275.922	355.813	346.461	316.447	335.964	341.858
FBgn0000319	Chc	62.7648	51.043	49.9204	40.1981	46.3545	42.1973	38.6524
FBgn0000320	eya	0.275122	0.0208303	0	0	0.0211244	0.262552	0.0127601
FBgn0000326	clt	9.77001	7.95192	6.61975	3.81979	4.4554	3.8775	2.59931
FBgn0000330	cm	7.77028	6.477	3.97878	11.0059	9.08424	10.1813	5.95609
FBgn0000337	cn	0	0.0807145	0	0	0.0362323	0.0417728	0
FBgn0000339	cni	125.579	125.269	154.801	102.434	105.242	85.9414	132.612
FBgn0000346	comt	1.95913	2.21146	1.78081	2.02895	1.7939	1.6751	3.68077
FBgn0000351	cort	2.91199	1.98547	1.72845	3.97932	3.57995	3.70473	3.52928
FBgn0000352	cos	1.739	2.47231	1.96981	1.71683	1.55171	1.3613	2.15408
FBgn0000355	Cp15	0.155307	0	0	0.102218	0.180427	0.0934328	0.217984
FBgn0000356	Cp16	0	0	0	0	0	0	0
FBgn0000357	Cp18	0.324433	0.371681	0.58099	1.42354	2.57554	2.47228	0.834834
