rank	gene	combined_binding_score	chr	start	end	transcript	FBid
1	CG9650	19.41186254799	X	7137723	7137724	FBtr0301240	FBgn0029939
2	Cyp12e1	18.1024166598412	3R	10434789	10434790	FBtr0301283	FBgn0037817
3	rpr	11.8467541804072	3L	18398434	18398435	FBtr0075120	FBgn0011706
4	CG15233	9.29124169957358	2R	6600977	6600978	FBtr0305958	FBgn0033076
5	kn	8.61289167653304	2R	14797026	14797027	FBtr0329882	FBgn0001319
6	dan	8.57802501854797	3R	25184383	25184384	FBtr0330289	FBgn0039286
7	bru3	8.55679165265368	3L	13666748	13666749	FBtr0330354	FBgn0264001
8	CG5103	8.42479167998924	3L	18294261	18294262	FBtr0075132	FBgn0036784
9	Antp	8.36616249372407	3R	6932839	6932840	FBtr0081653	FBgn0260642
10	hth	8.35835950469066	3R	10614275	10614276	FBtr0082256	FBgn0001235
11	CG1958	8.1618353463118	X	7266904	7266905	FBtr0071046	FBgn0029940
12	CG4161	7.98816453994174	2L	15433309	15433310	FBtr0080735	FBgn0028892
13	CG43131	7.9795238165451	3R	5109177	5109178	FBtr0305279	FBgn0262605
14	plh	7.85642142444849	3R	5011030	5011031	FBtr0301312	FBgn0037292
15	Rbp6	7.83239582931856	3L	17147968	17147969	FBtr0290066	FBgn0260943
16	ND-B14.5AL	7.58439049049103	3L	22606369	22606370	FBtr0078515	FBgn0037172
17	Glut3	7.49920833314148	3R	16788311	16788312	FBtr0083340	FBgn0015230
18	CG3473	7.12907500093085	2L	14563725	14563726	FBtr0080661	FBgn0028913
19	vnd	7.1028785758164	X	582121	582122	FBtr0110929	FBgn0261930
20	CG34354	6.97035417451989	3R	28146880	28146881	FBtr0304917	FBgn0085383
21	grim	6.91560420282185	3L	18304416	18304417	FBtr0075130	FBgn0015946
22	cas	6.90685564771827	3R	5716804	5716805	FBtr0078725	FBgn0004878
23	CG45544	6.6969092080679	3R	29256485	29256486	FBtr0346198	FBgn0267104
24	Prat2	6.56319247692129	3L	6913963	6913964	FBtr0076946	FBgn0041194
25	Ugt37B1	6.55704166515109	2L	6225048	6225049	FBtr0079242	FBgn0026755
26	CG13891	6.42359998584725	3L	433905	433906	FBtr0072566	FBgn0035139
27	pxb	6.40231548583002	3R	15666183	15666184	FBtr0083162	FBgn0053207
28	CG10939	6.15433333360124	2R	17394593	17394594	FBtr0086909	FBgn0010620
29	noc	6.02454165089876	2L	14490859	14490860	FBtr0080643	FBgn0005771
30	Sox21b	6.01157144813739	3L	14131296	14131297	FBtr0330115	FBgn0042630
31	snky	5.99900001240894	3L	13174478	13174479	FBtr0334063	FBgn0086916
32	side-VIII	5.97247502140235	2R	20424338	20424339	FBtr0112775	FBgn0086604
33	CG2217; CG42740	5.93037498695776					
34	Cnx99A	5.79409999456257	3R	29319597	29319598	FBtr0085438	FBgn0015622
35	vvl	5.62121428494242	3L	6790158	6790159	FBtr0076944	FBgn0086680
36	olf413	5.60944167137689	3L	22136090	22136091	FBtr0301492	FBgn0037153
37	klg	5.57312502960364	3R	22899284	22899285	FBtr0084337	FBgn0017590
38	Or98a	5.40437501203269	3R	27845950	27845951	FBtr0085226	FBgn0039551
39	ftz	5.39009998695304	3R	6864324	6864325	FBtr0081625	FBgn0001077
40	jing	5.35677501109118	2R	6502006	6502007	FBtr0114365	FBgn0086655
41	CG42852	5.30058331377804	3L	16755489	16755490	FBtr0304017	FBgn0262099
42	CG33262	5.29993747244589	3L	13136269	13136270	FBtr0302393	FBgn0053262
43	CG46301	5.25625001514951	2L	14104090	14104091	FBtr0445731	FBgn0283651
44	otk	5.24509583860636	2R	12019845	12019846	FBtr0088028	FBgn0004839
45	CG42831	5.23824999760836	3L	10814819	10814820	FBtr0303850	FBgn0262020
46	CG30089	5.21843751962297	2R	15727381	15727382	FBtr0087285	FBgn0050089
47	abd-A	5.17825001095318	3R	16828104	16828105	FBtr0083388	FBgn0000014
48	AOX4	5.10812501225155	3R	15552832	15552833	FBtr0083150	FBgn0038350
49	ssp3	5.0935625123481	2L	18943959	18943960	FBtr0081193	FBgn0032723
50	Ets65A	5.08588751163334	3L	6097617	6097618	FBtr0077054	FBgn0005658
51	Ten-m	5.07771252075327	3L	22407862	22407863	FBtr0078509	FBgn0004449
52	CG12507	4.97806250614425	X	16266536	16266537	FBtr0290087	FBgn0030729
53	corto	4.95624999546756	3R	5086711	5086712	FBtr0308118	FBgn0010313
54	CG43689	4.94981667040847	X	4075743	4075744	FBtr0473379	FBgn0263772
55	CenG1A	4.89702502400614	2L	13835564	13835565	FBtr0080546	FBgn0028509
56	CG11404	4.86723748142831	3L	22548437	22548438	FBtr0078513	FBgn0037169
57	CG42342	4.73633750674004	3R	16502770	16502771	FBtr0299894	FBgn0259244
58	tsh	4.72183333213131	2L	21828593	21828594	FBtr0085906	FBgn0003866
59	D	4.71492110382921	3L	14177536	14177537	FBtr0333034	FBgn0000411
60	CG7560	4.70165627716536	3L	11425158	11425159	FBtr0076173	FBgn0036157
61	pros	4.67970001854895	3R	11328480	11328481	FBtr0304604	FBgn0004595
