rank	gene	combined_binding_score	chr	start	end	transcript	FBid
1	CG9650	24.4003982249381	X	7137723	7137724	FBtr0301240	FBgn0029939
2	hth	19.947323653541	3R	10614275	10614276	FBtr0082256	FBgn0001235
3	CG15233	13.6949934460034	2R	6600977	6600978	FBtr0305958	FBgn0033076
4	CG45544	12.9478114972012	3R	29256485	29256486	FBtr0346198	FBgn0267104
5	Cyp12e1	12.6872500211699	3R	10434789	10434790	FBtr0301283	FBgn0037817
6	rpr	11.4898972349403	3L	18398434	18398435	FBtr0075120	FBgn0011706
7	CG4161	11.419949390278	2L	15433309	15433310	FBtr0080735	FBgn0028892
8	Prat2	10.6367708240325	3L	6913963	6913964	FBtr0076946	FBgn0041194
9	CG1958	10.513913207377	X	7266904	7266905	FBtr0071046	FBgn0029940
10	Ugt37B1	10.448945833991	2L	6225048	6225049	FBtr0079242	FBgn0026755
11	corto	10.2506500211234	3R	5086711	5086712	FBtr0308118	FBgn0010313
12	cas	9.64207890894087	3R	5716804	5716805	FBtr0078725	FBgn0004878
13	D	9.42466876948214	3L	14177536	14177537	FBtr0333034	FBgn0000411
14	SoxN	8.8455530232891	2L	8825645	8825646	FBtr0079733	FBgn0029123
15	CG42693	8.74239399243021	3R	31708339	31708340	FBtr0302894	FBgn0261583
16	CG1324	8.72302503138781	X	20735959	20735960	FBtr0077293	FBgn0031129
17	abd-A	8.59811112751098	3R	16828104	16828105	FBtr0083388	FBgn0000014
18	CG5103	8.42222918989137	3L	18294261	18294262	FBtr0075132	FBgn0036784
19	Glut3	8.41041074713603	3R	16788311	16788312	FBtr0083340	FBgn0015230
20	grh	8.37901488959435	2R	17801132	17801133	FBtr0345791	FBgn0259211
21	E2f1	8.16249305189898	3R	21632692	21632693	FBtr0334678	FBgn0011766
22	dati	7.84974759390933	4	388321	388322	FBtr0307044	FBgn0262636
23	Osi21	7.77213746173075	2L	11285705	11285706	FBtr0080214	FBgn0283678
24	Sox21b	7.59449634764137	3L	14131296	14131297	FBtr0330115	FBgn0042630
25	ND-B14.5AL	7.55613811270644	3L	22606369	22606370	FBtr0078515	FBgn0037172
26	CenG1A	7.47322235222728	2L	13835564	13835565	FBtr0080546	FBgn0028509
27	CG7956	7.40745833174636	3R	21520928	21520929	FBtr0084112	FBgn0038890
28	ftz	7.37916664980197	3R	6864324	6864325	FBtr0081625	FBgn0001077
29	olf413	7.30150115843585	3L	22136090	22136091	FBtr0301492	FBgn0037153
30	tup	7.24913749471307	2L	18881260	18881261	FBtr0081112	FBgn0003896
31	CycE	7.19687795764988	2L	15731783	15731784	FBtr0080777	FBgn0010382
32	Rca1	7.07300001134475	2L	6852315	6852316	FBtr0079342	FBgn0017551
33	bru3	7.05672915501054	3L	13666748	13666749	FBtr0330354	FBgn0264001
34	Imp	7.00334717341837	X	10806855	10806856	FBtr0073420	FBgn0285926
35	Cnx99A	6.92901192470232	3R	29319597	29319598	FBtr0085438	FBgn0015622
36	phyl	6.73868120954139	2R	14432336	14432337	FBtr0087516	FBgn0013725
37	kn	6.67390474739174	2R	14797026	14797027	FBtr0329882	FBgn0001319
38	tap	6.46707740417194	3L	17359682	17359683	FBtr0075216	FBgn0015550
39	plh	6.4359166336207	3R	5011030	5011031	FBtr0301312	FBgn0037292
40	Antp	6.36584581645827	3R	6932839	6932840	FBtr0081653	FBgn0260642
41	grim	6.3357642876583	3L	18304416	18304417	FBtr0075130	FBgn0015946
42	CG46301	6.32758751109553	2L	14104090	14104091	FBtr0445731	FBgn0283651
43	pxb	6.25723451128052	3R	15666183	15666184	FBtr0083162	FBgn0053207
44	CG30089	6.24745414421971	2R	15727381	15727382	FBtr0087285	FBgn0050089
45	sna	6.20103871994874	2L	15478259	15478260	FBtr0080739	FBgn0003448
46	drl	6.19565000653023	2L	19190342	19190343	FBtr0081195	FBgn0015380
47	Or67d	6.18794164452896	3L	10273204	10273205	FBtr0076297	FBgn0036080
48	jing	6.17308812656726	2R	6502006	6502007	FBtr0114365	FBgn0086655
49	SkpD	6.12442707813655	X	19812729	19812730	FBtr0074796	FBgn0026174
50	pros	6.06430419774648	3R	11328480	11328481	FBtr0304604	FBgn0004595
51	vvl	6.05171705856771	3L	6790158	6790159	FBtr0076944	FBgn0086680
52	unc-5	5.98790417114894	2R	15340472	15340473	FBtr0339998	FBgn0034013
53	hng3	5.98705830433755	3L	739348	739349	FBtr0072601	FBgn0035160
54	CG2217; CG42740	5.91083331840734					
55	Ets65A	5.89418334876342	3L	6097617	6097618	FBtr0077054	FBgn0005658
56	tou	5.8859524121508	2R	11582634	11582635	FBtr0088094	FBgn0033636
57	CG7560	5.83157496373169	3L	11425158	11425159	FBtr0076173	FBgn0036157
58	CG15452	5.81865058494288	X	20745964	20745965	FBtr0077292	FBgn0031130
