name,chrom,chromStart,chromEnd,score,strand,signalValue,pValue,qValue,peak,annotation,geneStart,geneEnd,geneLength,geneId,transcriptId,distanceToTSS,gene,gene_start,gene_end
SRR21146074_vs_SRR21146077_peak_1,2L,23237,23369,36,.,5.32054,7.15092,3.61608,102,Promoter (1-2kb),21952,24237,2286,FBgn0263584,FBtr0309810,1388,Ir21a,21823.0,25155.0
SRR21146074_vs_SRR21146077_peak_2,2L,23526,23579,29,.,4.98358,6.2873,2.96555,50,Promoter (1-2kb),21823,25155,3333,FBgn0031209,FBtr0113008,1578,Ir21a,21823.0,25155.0
SRR21146074_vs_SRR21146077_peak_3,2L,23733,23854,28,.,4.94876,6.20791,2.89838,17,Promoter (1-2kb),21823,25155,3333,FBgn0031209,FBtr0113008,1404,Ir21a,21823.0,25155.0
SRR21146074_vs_SRR21146077_peak_4,2L,68103,68123,47,.,6.70032,8.56957,4.77344,18,Promoter (1-2kb),67043,71390,4348,FBgn0067779,FBtr0306537,1079,dbr,66482.0,71390.0
SRR21146074_vs_SRR21146077_peak_5,2L,68182,68203,27,.,4.89211,6.08002,2.79107,1,Promoter (1-2kb),67043,71390,4348,FBgn0067779,FBtr0306537,1141,dbr,66482.0,71390.0
SRR21146074_vs_SRR21146077_peak_6,2L,87117,87147,20,.,4.06987,5.02241,2.01553,25,Promoter (<=1kb),82421,87387,4967,FBgn0002931,FBtr0290323,244,net,82421.0,87387.0
SRR21146074_vs_SRR21146077_peak_7,2L,105860,105869,47,.,5.72784,8.58517,4.77344,5,Promoter (<=1kb),103962,106732,2771,FBgn0026787,FBtr0301452,866,Nhe1,103962.0,106732.0
SRR21146074_vs_SRR21146077_peak_8,2L,133304,133508,34,.,5.42617,6.95302,3.44332,46,Promoter (1-2kb),132077,134472,2396,FBgn0001142,FBtr0078115,1274,Gs1,132077.0,134472.0
SRR21146074_vs_SRR21146077_peak_9,2L,139720,139729,43,.,5.5981,8.05828,4.39176,3,Promoter (<=1kb),138384,139588,1205,FBgn0051976,FBtr0346127,-136,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_10,2L,140196,140290,51,.,6.17015,9.01371,5.15927,46,Promoter (<=1kb),138384,139588,1205,FBgn0051976,FBtr0346127,-655,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_11,2L,140722,140732,48,.,6.04999,8.6475,4.82821,5,Promoter (<=1kb),138384,140992,2609,FBgn0051975,FBtr0302196,264,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_12,2L,152649,152714,28,.,4.95209,6.18796,2.88143,3,Promoter (<=1kb),144231,153300,9070,FBgn0259818,FBtr0301929,647,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_13,2L,152785,152809,41,.,6.21127,7.77194,4.15748,8,Promoter (<=1kb),144231,153300,9070,FBgn0259818,FBtr0301929,506,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_14,2L,152917,153170,14,.,3.61745,4.33257,1.4719,103,Promoter (<=1kb),144231,153300,9070,FBgn0259818,FBtr0301929,279,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_15,2L,153260,153269,34,.,5.27136,6.90021,3.41608,4,Promoter (<=1kb),144231,153300,9070,FBgn0259818,FBtr0301929,35,ND-15,114726.0,156030.0
SRR21146074_vs_SRR21146077_peak_16,2L,179412,179424,47,.,5.72784,8.58517,4.77344,7,"Intron (FBtr0078122/FBgn0016977, intron 2 of 11)",182820,201588,18769,FBgn0016977,FBtr0332337,-3400,spen,159032.0,203397.0
SRR21146074_vs_SRR21146077_peak_17,2L,214767,214776,21,.,4.07419,5.24534,2.12496,0,"Exon (FBtr0078145/FBgn0266557, exon 7 of 7)",219651,220050,400,FBgn0265151,FBtr0336984,-4883,kis,210735.0,250823.0
SRR21146074_vs_SRR21146077_peak_18,2L,245211,245399,19,.,4.08267,4.98931,1.99222,140,Promoter (2-3kb),243035,243141,107,FBgn0262252,FBtr0304343,-2211,kis,210735.0,250823.0
SRR21146074_vs_SRR21146077_peak_19,2L,245485,245505,26,.,4.5305,5.94877,2.6805,4,Promoter (2-3kb),243035,243141,107,FBgn0262252,FBtr0304343,-2349,kis,210735.0,250823.0
SRR21146074_vs_SRR21146077_peak_20,2L,285943,286063,13,.,2.70439,4.1611,1.33403,1,Promoter (<=1kb),283385,285726,2342,FBgn0031245,FBtr0078136,-219,CG3625,283385.0,291795.0
SRR21146074_vs_SRR21146077_peak_21,2L,286389,286713,75,.,8.21941,11.81145,7.53771,218,Promoter (<=1kb),283662,286531,2870,FBgn0031245,FBtr0078135,-77,CG3625,283385.0,291795.0
SRR21146074_vs_SRR21146077_peak_22,2L,297184,297903,130,.,11.05312,18.45829,13.03508,349,Promoter (<=1kb),297880,303934,6055,FBgn0020622,FBtr0331205,-346,intergenic,,
SRR21146074_vs_SRR21146077_peak_23,2L,298449,298626,14,.,3.61745,4.33257,1.4719,93,Promoter (<=1kb),297880,305233,7354,FBgn0020622,FBtr0331208,663,Pi3K21B,297880.0,305233.0
SRR21146074_vs_SRR21146077_peak_24,2L,300186,300410,80,.,7.66534,12.52288,8.08104,139,Promoter (1-2kb),301706,305233,3528,FBgn0020622,FBtr0331206,-1380,Pi3K21B,297880.0,305233.0
SRR21146074_vs_SRR21146077_peak_25,2L,307012,307107,17,.,4.16329,4.70347,1.7811,36,Promoter (1-2kb),305935,355566,49632,FBgn0004611,FBtr0078049,1114,Plc21C,305935.0,355566.0
SRR21146074_vs_SRR21146077_peak_26,2L,307168,307223,19,.,4.08267,4.98931,1.99222,54,Promoter (1-2kb),305935,355566,49632,FBgn0004611,FBtr0078049,1288,Plc21C,305935.0,355566.0
SRR21146074_vs_SRR21146077_peak_27,2L,308058,308214,42,.,5.68444,7.82722,4.20436,7,Promoter (1-2kb),308537,309348,812,FBgn0263872,FBtr0329830,1282,Plc21C,305935.0,355566.0
SRR21146074_vs_SRR21146077_peak_28,2L,319065,319219,23,.,3.60875,5.46828,2.31712,76,Promoter (<=1kb),318362,319259,898,FBgn0031248,FBtr0078099,117,Plc21C,305935.0,355566.0
SRR21146074_vs_SRR21146077_peak_29,2L,455709,455995,23,.,3.60875,5.46828,2.31712,154,Promoter (<=1kb),455531,458745,3215,FBgn0031257,FBtr0331231,333,CG4133,455531.0,458745.0
SRR21146074_vs_SRR21146077_peak_30,2L,466581,466802,14,.,3.61745,4.33257,1.4719,0,"Intron (FBtr0310035/FBgn0031258, intron 1 of 1)",458876,471555,12680,FBgn0031258,FBtr0310035,4973,CG4297,458876.0,472200.0
SRR21146074_vs_SRR21146077_peak_31,2L,469092,469543,34,.,5.42617,6.95302,3.44332,163,Promoter (2-3kb),458876,471555,12680,FBgn0031258,FBtr0310035,2299,CG4297,458876.0,472200.0
SRR21146074_vs_SRR21146077_peak_32,2L,470352,470391,31,.,5.06919,6.48928,3.13627,1,Promoter (1-2kb),458876,471555,12680,FBgn0031258,FBtr0310035,1201,CG4297,458876.0,472200.0
SRR21146074_vs_SRR21146077_peak_33,2L,470758,470819,30,.,5.02602,6.38618,3.04869,53,Promoter (<=1kb),458876,471555,12680,FBgn0031258,FBtr0310035,743,CG4297,458876.0,472200.0
SRR21146074_vs_SRR21146077_peak_34,2L,475955,476014,34,.,5.30217,6.95419,3.44388,8,Promoter (<=1kb),476220,540532,64313,FBgn0003963,FBtr0333012,-256,MED15,473013.0,476170.0
SRR21146074_vs_SRR21146077_peak_35,2L,476083,476193,43,.,5.874,7.99793,4.33769,39,Promoter (<=1kb),476220,540532,64313,FBgn0003963,FBtr0333012,-97,intergenic,,
SRR21146074_vs_SRR21146077_peak_36,2L,483743,483999,26,.,4.64996,5.86792,2.65303,218,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",476446,479688,3243,FBgn0043364,FBtr0310030,-4274,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_37,2L,484403,484522,26,.,3.4244,5.94584,2.6805,43,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",476446,479688,3243,FBgn0043364,FBtr0310030,-4759,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_38,2L,484795,484818,23,.,3.60875,5.46828,2.31712,2,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",476446,479688,3243,FBgn0043364,FBtr0310030,-5110,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_39,2L,484877,484893,32,.,4.51311,6.6833,3.29812,4,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",476446,479688,3243,FBgn0043364,FBtr0310030,-5194,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_40,2L,485708,486101,20,.,3.916,5.08049,2.06026,112,"Intron (FBtr0333012/FBgn0003963, intron 1 of 7)",490835,540532,49698,FBgn0003963,FBtr0310027,-5014,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_41,2L,494224,494317,34,.,5.42617,6.95302,3.44332,44,Promoter (2-3kb),491879,492649,771,FBgn0267991,FBtr0347590,2390,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_42,2L,529011,529063,33,.,4.92297,6.85819,3.37855,2,"Intron (FBtr0333012/FBgn0003963, intron 2 of 7)",523736,540560,16825,FBgn0003963,FBtr0329895,5278,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_43,2L,529124,529178,33,.,4.92297,6.85819,3.37855,9,"Intron (FBtr0333012/FBgn0003963, intron 2 of 7)",523736,540560,16825,FBgn0003963,FBtr0329895,5398,ush,476220.0,540560.0
SRR21146074_vs_SRR21146077_peak_44,2L,573597,573655,26,.,4.5305,5.94877,2.6805,32,Promoter (<=1kb),573033,574264,1232,FBgn0031267,FBtr0078074,634,Ipk2,573033.0,574264.0
SRR21146074_vs_SRR21146077_peak_45,2L,574450,574699,26,.,4.97833,5.94877,2.6805,134,Promoter (<=1kb),574508,575734,1227,FBgn0031268,FBtr0078069,77,cold,574291.0,575734.0
SRR21146074_vs_SRR21146077_peak_46,2L,821644,822255,21,.,3.24527,5.31046,2.18162,373,Promoter (<=1kb),821422,824337,2916,FBgn0031285,FBtr0301908,596,CG3662,821289.0,824337.0
SRR21146074_vs_SRR21146077_peak_47,2L,826663,827026,17,.,3.06613,4.70046,1.78014,180,Promoter (<=1kb),825969,833241,7273,FBgn0010583,FBtr0078015,875,dock,825969.0,833241.0
SRR21146074_vs_SRR21146077_peak_48,2L,843099,843258,43,.,5.80644,7.98822,4.33769,60,Promoter (<=1kb),833587,842943,9357,FBgn0020304,FBtr0078037,-217,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_49,2L,844740,844756,15,.,3.84435,4.38968,1.51953,2,Promoter (1-2kb),833587,842943,9357,FBgn0020304,FBtr0078037,-1800,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_50,2L,845830,845903,32,.,5.2075,6.66863,3.29014,65,Promoter (2-3kb),833587,842943,9357,FBgn0020304,FBtr0078037,-2953,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_51,2L,846024,846057,24,.,4.65595,5.59207,2.42139,2,"Intron (FBtr0302120/FBgn0020304, intron 1 of 5)",833587,842943,9357,FBgn0020304,FBtr0078037,-3084,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_52,2L,846793,846815,35,.,5.38095,7.01833,3.50086,20,"Intron (FBtr0302120/FBgn0020304, intron 1 of 5)",833587,842943,9357,FBgn0020304,FBtr0078037,-3871,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_53,2L,850243,850268,28,.,4.90761,6.11598,2.82119,2,Promoter (<=1kb),850702,851163,462,FBgn0264869,FBtr0334793,-456,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_54,2L,850390,850418,29,.,4.97308,6.26321,2.94478,0,Promoter (<=1kb),850702,851163,462,FBgn0264869,FBtr0334793,-311,drongo,833584.0,851071.0
SRR21146074_vs_SRR21146077_peak_55,2L,865713,865722,19,.,4.23561,4.84769,1.90006,2,Promoter (<=1kb),861849,865861,4013,FBgn0029095,FBtr0078033,145,aru,861849.0,868354.0
SRR21146074_vs_SRR21146077_peak_56,2L,865828,865910,28,.,4.93497,6.17687,2.87254,1,Promoter (<=1kb),861849,865861,4013,FBgn0029095,FBtr0078033,31,aru,861849.0,868354.0
SRR21146074_vs_SRR21146077_peak_57,2L,865996,866038,19,.,4.24447,4.86679,1.91758,1,Promoter (<=1kb),861849,865861,4013,FBgn0029095,FBtr0078033,-137,aru,861849.0,868354.0
SRR21146074_vs_SRR21146077_peak_58,2L,867415,867435,30,.,4.9819,6.40729,3.06733,6,Promoter (<=1kb),861849,868013,6165,FBgn0029095,FBtr0078032,591,aru,861849.0,868354.0
