seqnames	start	end	width	strand	Conc	Conc_Cph_NanoDam	Conc_control	Fold	p.value	FDR
3R	21662656	21663056	401	*	10.1928210226592	6.39786527331481	11.1398923213351	-4.66474711362679	2.432944509864e-50	6.25874975162514e-46
2L	47258	47658	401	*	10.2921271986761	11.1875629245864	7.45385637520761	3.65551403481965	3.62000734457552e-35	4.65623444696027e-31
X	3789784	3790184	401	*	10.0543248567943	10.9000324745827	7.75283851491674	3.05786340194361	3.35604137490775e-26	2.87780547898339e-22
3L	16806422	16806822	401	*	10.7380599764865	11.5649119464336	8.59366322674909	2.88417149480179	2.43069788572546e-25	1.56324257775718e-21
3R	23723374	23723774	401	*	11.6224939957837	12.493677286446	9.07319013099883	3.31860930938858	3.10919376756503e-25	1.59968019341221e-21
3R	19008906	19009306	401	*	9.62990798843513	7.48918169282483	10.4562912443737	-2.87695665258749	1.01912403169126e-24	4.36949428587627e-21
3R	20156071	20156471	401	*	9.22217717975212	10.1106870867735	6.47301215903121	3.52718726923661	1.40504592033231e-24	5.16354375722124e-21
3R	19792803	19793203	401	*	11.8768445089582	12.7233332923017	9.56841904585201	3.0377716484708	1.11188313657033e-20	3.57539921103397e-17
X	9306237	9306637	401	*	8.33928990151955	4.66154427977013	9.28179114174649	-4.42631924366901	2.56709981084295e-20	7.33762695932611e-17
X	14727725	14728125	401	*	9.85577916101122	6.8485818023746	10.7631483062595	-3.7641636997638	3.64541655461889e-20	9.37783408675711e-17
3R	8090325	8090725	401	*	11.4097348997357	12.3213272509526	8.33730543092747	3.82495388707361	5.43897705074794e-20	1.27197895118628e-16
2R	13015258	13015658	401	*	7.880809294432	8.8239014051448	4.18845498855545	4.4311394218252	7.16786191642145e-20	1.49678687856205e-16
3R	30686764	30687164	401	*	8.74628889317684	9.60104517824323	6.36205752107624	3.11311659466185	7.56393757873924e-20	1.49678687856205e-16
X	19710742	19711142	401	*	7.79919028188547	2.66556596350876	8.77849454319352	-5.6713844562681	1.44013910794933e-19	2.64625561085689e-16
2L	13630633	13631033	401	*	9.12612967831244	6.24117130182796	10.0250145850449	-3.62356256360491	2.29255671776028e-19	3.93173477095888e-16
3R	23224190	23224590	401	*	10.7586096896687	11.5236487369537	9.02444984435568	2.40047358757274	1.04666793113818e-18	1.6828457830331e-15
2R	12851723	12852123	401	*	10.2391074308722	11.0150448488857	8.44173307197089	2.47025666129941	1.18829139000965e-18	1.79816447105872e-15
3L	9211263	9211663	401	*	10.1870167491312	10.9208542075548	8.61759398972849	2.21316180187599	1.34696596519792e-18	1.92503885859536e-15
3L	7564464	7564864	401	*	8.7029900418153	9.55321998652297	6.36080752609294	3.05349126587657	6.40532316296142e-18	8.67247044037803e-15
3R	5060792	5061192	401	*	10.6489514098554	11.4755818558697	8.5062907050965	2.83913045576511	1.03216152470353e-17	1.32761776114992e-14
3L	41535	41935	401	*	7.71075354181851	1.36014408388846	8.70188699584268	-6.52256717718986	1.75544305117963e-17	2.15041773769504e-14
3L	18209623	18210023	401	*	10.5584268177092	11.4475683588369	7.80137689736118	3.47737165778805	2.60830747441992e-17	3.04994135361147e-14
2L	3288352	3288752	401	*	9.1554053264754	9.94637486905544	7.26517050361478	2.56159434190434	4.52213283816138e-17	5.05790727224789e-14
3L	7243149	7243549	401	*	10.2974029074554	8.83138718336757	11.009355353128	-2.07979116729564	1.19887473161752e-16	1.28504385295253e-13
3L	11168679	11169079	401	*	9.17311049212075	9.96113485977817	7.30162413929085	2.5363631325943	1.50148394946703e-16	1.54502698400158e-13
3R	18779291	18779691	401	*	8.79101688425252	9.60604601404265	6.73612308000272	2.73353717833577	2.16593043137156e-16	2.06590648380665e-13
