"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr2L",381,5526,5146,"*","Promoter (2-3kb)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",-2003
"2","chr2L",7726,8776,1051,"*","Promoter (<=1kb)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",197
"3","chr2L",12451,13037,587,"*","Exon (FBtr0078170/FBgn0002121, exon 6 of 9)",1,7529,9484,1956,1,"FBgn0031208","FBtr0475186",4922
"4","chr2L",13333,14456,1124,"*","Exon (FBtr0078170/FBgn0002121, exon 4 of 9)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",4114
"5","chr2L",15085,15655,571,"*","Promoter (2-3kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",2915
"6","chr2L",17984,18566,583,"*","Promoter (<=1kb)",1,9839,18570,8732,2,"FBgn0002121","FBtr0078170",4
"7","chr2L",20764,21387,624,"*","Promoter (<=1kb)",1,9839,21376,11538,2,"FBgn0002121","FBtr0078166",0
"8","chr2L",24369,25076,708,"*","Promoter (<=1kb)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",79
"9","chr2L",28340,28554,215,"*","Exon (FBtr0113416/FBgn0051973, exon 10 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-3185
"10","chr2L",30836,31392,557,"*","Exon (FBtr0078164/FBgn0051973, exon 8 of 14)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-5681
"11","chr2L",32035,33302,1268,"*","Exon (FBtr0078164/FBgn0051973, exon 8 of 14)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-6880
"12","chr2L",33767,33981,215,"*","Exon (FBtr0078163/FBgn0051973, exon 7 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-8612
"13","chr2L",39336,39550,215,"*","Exon (FBtr0078163/FBgn0051973, exon 3 of 13)",1,21823,25155,3333,2,"FBgn0031209","FBtr0113008",-14181
"14","chr2L",39958,41454,1497,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-13363
"15","chr2L",47335,48784,1450,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-6033
"16","chr2L",49172,49999,828,"*","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",-4818
"17","chr2L",55772,56318,547,"*","Promoter (<=1kb)",1,54817,55767,951,1,"FBgn0267987","FBtr0347585",955
"18","chr2L",57258,57472,215,"*","Promoter (1-2kb)",1,25402,59268,33867,2,"FBgn0051973","FBtr0078163",1796
"19","chr2L",66409,68283,1875,"*","Promoter (<=1kb)",1,66482,71390,4909,1,"FBgn0067779","FBtr0306539",0
"20","chr2L",69888,70183,296,"*","Promoter (1-2kb)",1,71757,76211,4455,1,"FBgn0031213","FBtr0306540",-1574
"21","chr2L",72000,73464,1465,"*","Promoter (<=1kb)",1,72387,76211,3825,1,"FBgn0031213","FBtr0078101",0
"22","chr2L",78479,79727,1249,"*","Promoter (2-3kb)",1,76348,77783,1436,1,"FBgn0031214","FBtr0306541",2131
"23","chr2L",81958,82172,215,"*","Distal Intergenic",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",5215
"24","chr2L",83135,84875,1741,"*","Promoter (2-3kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",2512
"25","chr2L",85697,86066,370,"*","Promoter (1-2kb)",1,82421,87387,4967,2,"FBgn0002931","FBtr0290323",1321
"26","chr2L",90175,90984,810,"*","Promoter (2-3kb)",1,82984,87387,4404,2,"FBgn0002931","FBtr0330637",-2788
"27","chr2L",92385,92675,291,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",-2064
"28","chr2L",95287,95738,452,"*","Promoter (<=1kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",548
"29","chr2L",97379,97866,488,"*","Promoter (2-3kb)",1,94739,102086,7348,1,"FBgn0031216","FBtr0078103",2640
"30","chr2L",100084,100369,286,"*","Promoter (2-3kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-2011
"31","chr2L",100618,100860,243,"*","Promoter (1-2kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-1520
"32","chr2L",101291,101505,215,"*","Promoter (<=1kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",-875
"33","chr2L",102842,103907,1066,"*","Promoter (<=1kb)",1,102380,104142,1763,1,"FBgn0031217","FBtr0330636",462
"34","chr2L",105874,106612,739,"*","Promoter (<=1kb)",1,103962,106732,2771,2,"FBgn0026787","FBtr0301452",120
"35","chr2L",107454,107668,215,"*","Promoter (<=1kb)",1,107761,111337,3577,1,"FBgn0005278","FBtr0308091",-93
"36","chr2L",109699,110787,1089,"*","Promoter (<=1kb)",1,109594,114210,4617,1,"FBgn0005278","FBtr0089436",105
"37","chr2L",112662,113151,490,"*","Promoter (1-2kb)",1,114726,156030,41305,1,"FBgn0031228","FBtr0306542",-1575
"38","chr2L",114592,114840,249,"*","Promoter (<=1kb)",1,114726,156030,41305,1,"FBgn0031228","FBtr0306542",0
"39","chr2L",117496,118460,965,"*","Promoter (1-2kb)",1,115365,116488,1124,2,"FBgn0031219","FBtr0078160",-1008
