gene_symbol,start,end,width,width.1,Conc,Conc_Cph_NanoDam,Conc_control,Fold,p.value,FDR,geneChr,geneStart,geneEnd,geneLength,geneStrand,distanceToTSS,significance_score,rank
CG9098,24049631,24051227,1600,1604,37.96851028988421,40.533723271457006,32.89734554643518,6.5366152521111145,0.00010741131418947524,0.005580904164303099,4,24029597,24048247,18654,8,-2182,23.249890556609305,1
Sox21b,42386621,42387818,1200,1203,26.3309262714548,28.42476325379511,21.94554970190699,5.68727002823162,2.31623001557549e-05,0.001655143432618729,9,42337215,42393918,56706,6,6499,20.093894057891543,2
l(2)gl,20775,21174,400,401,7.19443176175078,8.174349467054,2.01770382716347,5.35060849658582,1.26909398203142e-10,3.60626270322618e-08,1,9839,21376,11538,2,202,7.442942639675219,3
sff,15928825,15929224,400,401,7.20194840172993,8.1796324799998,2.17625565739436,5.33991117232814,6.14157835078063e-12,2.59003447662019e-09,3,15900156,15924861,24706,2,-3964,8.586694454873864,4
Plp,60310786,60312382,1600,1604,40.7412365500231,43.0776702016287,36.63243065807302,5.314812741679418,2.7342627505970583e-05,0.0021437708587303673,12,60264964,60313920,48960,8,2316,20.412380507772404,5
AGO2,15555356,15555755,400,401,6.79706811066081,7.74609781649992,2.94869211180264,4.39118199816733,9.40019192591116e-12,3.55617554844212e-09,3,15556823,15561042,4220,1,-1068,8.449016808489809,6
unc-13,911388,911787,400,401,6.85991308985893,7.80891809647908,3.01222374691479,4.34228224404917,7.406480524971709e-11,2.26823466077259e-08,5,870930,912331,41402,2,544,7.644312017412811,7
stumps,58363089,58364685,1600,1604,35.52791278074406,37.92439693646892,31.322054809041838,4.2327838393742265,0.0014470927313889061,0.0436660190550857,16,58357255,58432316,75065,4,6233,9.633598805400307,8
lncRNA:CR45128,6664652,6665051,400,401,7.50541346889292,8.44548407823641,3.88619364196772,4.20734819405315,2.31460921803672e-12,1.1450638871922e-09,2,6663395,6664195,801,2,-457,8.941170281812301,9
CG10365,47448846,47449644,800,802,23.0822598626439,24.4884014329615,19.67334136479053,4.113990151739085,0.0009668763066004,0.0265710642927085,8,47446662,47462998,16338,2,2184,22.371557882178433,10
Ref2,12643623,12644022,400,401,7.91237356627806,8.84207336780753,4.51827239776085,3.99699441617298,3.59610308122648e-12,1.62297810113248e-09,1,12610517,12646356,35840,2,2334,8.789687340076101,11
Vha13,19643799,19644198,400,401,8.93298741813386,9.85929942253689,5.60510728759985,3.98135872660157,1.00141109333982e-13,6.40712811860409e-11,4,19643018,19644386,1369,2,188,10.193336591655639,12
lncRNA:CR44330,8090326,8090725,400,401,11.4097348997357,12.3213272509526,8.33730543092747,3.82495388707358,5.43897705074803e-20,1.2719789511863002e-16,4,8089757,8090285,529,1,569,15.895520075369426,13
CG15546,92627367,92628564,1200,1203,25.43819589971561,27.324800332560812,21.86550965633517,3.7962336924166387,0.0006719838874626005,0.022207142034975837,12,92623095,92628558,5466,6,393,8.8481011521411,14
Pde8,71012400,71013597,1200,1203,35.669771386978496,37.2854477075794,33.0117575196033,3.1117070903723523,0.0011324848603204165,0.03354818976683115,6,71012059,71040051,27995,3,700,8.830163288560513,15
Sec61gamma,19643611,19644010,400,401,10.6303129217774,11.4929577260709,8.16939718334763,3.1022861715057,1.15067204288742e-12,6.16688297984978e-10,6,19643859,19644395,537,1,0,9.209934292483002,16
Unc-115a,9699861,9700260,400,401,10.3547617502771,11.2124534157778,7.94251811663341,3.09634931416403,3.0519419753868602e-15,2.45347522865085e-12,4,9694386,9699920,5535,2,0,11.610218322486226,17
cnc,46439692,46440490,800,802,20.9496320606046,22.1073123505943,18.674285430349087,3.078828650931722,0.000834981139174901,0.02394636544624028,8,46371992,46441268,69278,4,1177,16.394716075199717,18
HIP-R,3789785,3790184,400,401,10.0543248567943,10.9000324745827,7.75283851491674,3.05786340194361,3.35604137490749e-26,2.87780547898317e-22,6,3789969,3792477,2509,1,0,21.540938564902294,19
frac,7564465,7564864,400,401,8.7029900418153,9.55321998652297,6.36080752609294,3.05349126587656,6.4053231629614195e-18,8.672470440378031e-15,3,7562610,7569499,6890,1,1855,14.061857171751408,20
tRNA:Ala-AGC-2-11,19792804,19793203,400,401,11.8768445089582,12.7233332923017,9.56841904585201,3.03777164847079,1.1118831365703301e-20,3.57539921103397e-17,4,19790972,19791044,73,1,1832,16.44667546002522,21
